CustomerID,Gender,Age,AnnualIncome,SpendingScore,TransactionsPerMonth,RecencyDays,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Cluster
1,0.0,49,53581,39,31,282,False,False,False,False,False,1
2,0.0,53,97674,42,23,205,False,True,False,False,False,3
3,0.0,67,145196,71,16,150,False,True,False,False,False,3
4,0.0,54,46719,94,9,344,False,False,False,False,True,4
5,0.0,65,118576,45,6,139,False,False,True,False,False,1
6,0.0,31,68450,2,25,281,True,False,False,False,False,0
7,0.0,44,40028,76,4,335,False,False,False,False,False,1
8,0.0,36,36192,77,12,173,False,False,False,False,True,4
9,0.0,48,103636,67,24,164,False,False,False,False,True,4
10,0.0,63,91812,43,27,102,False,False,False,True,False,2
11,0.0,26,47551,18,3,290,False,True,False,False,False,3
12,0.0,55,140920,39,12,288,False,False,True,False,False,1
13,0.0,34,92364,6,30,102,False,True,False,False,False,3
14,0.0,36,84311,42,12,153,False,False,False,False,True,4
15,0.0,61,81444,52,22,121,False,False,False,False,True,4
16,0.0,21,53124,27,15,57,False,False,False,False,False,1
17,0.0,65,33654,79,28,107,False,True,False,False,False,3
18,0.0,28,20203,15,17,239,False,True,False,False,False,3
19,0.0,39,40129,19,25,21,True,False,False,False,False,0
20,0.0,21,136284,62,3,73,False,False,False,False,False,1
21,0.0,34,92150,64,36,341,False,False,True,False,False,1
22,0.0,25,133103,51,31,21,False,True,False,False,False,3
23,0.0,63,53264,47,15,298,False,True,False,False,False,3
24,0.0,51,32989,57,28,11,False,False,True,False,False,1
25,0.0,28,147812,20,31,58,False,False,False,False,False,1
26,0.0,48,69214,20,20,354,False,True,False,False,False,3
27,0.0,28,87115,82,21,240,False,False,True,False,False,1
28,0.0,55,81678,64,27,297,True,False,False,False,False,0
29,0.0,38,77883,98,19,86,False,True,False,False,False,3
30,0.0,63,73445,99,36,144,False,False,True,False,False,1
31,0.0,47,90412,38,12,225,False,False,False,False,True,4
32,0.0,27,126154,38,35,194,False,True,False,False,False,3
33,0.0,43,89661,65,33,103,True,False,False,False,False,0
34,0.0,44,137401,76,36,364,False,False,True,False,False,1
35,0.0,25,25328,5,23,326,False,False,True,False,False,1
36,0.0,56,148062,64,13,162,False,True,False,False,False,3
37,0.0,25,68968,27,30,302,False,False,False,False,True,4
38,0.0,25,62040,20,10,48,False,False,True,False,False,1
39,0.0,51,79199,60,20,234,False,False,True,False,False,1
40,0.0,33,77039,40,6,293,False,False,False,False,True,4
41,0.0,58,97232,83,31,22,True,False,False,False,False,0
42,0.0,30,121683,79,19,336,False,True,False,False,False,3
43,0.0,40,70750,6,3,135,False,False,False,True,False,2
44,0.0,29,36119,73,10,175,False,True,False,False,False,3
45,0.0,44,44017,36,10,333,False,True,False,False,False,3
46,0.0,39,68780,87,21,242,False,False,False,False,False,1
47,0.0,49,46204,74,2,17,False,True,False,False,False,3
48,0.0,66,39562,65,39,259,False,False,False,True,False,2
49,0.0,44,44428,11,30,198,False,False,False,False,True,4
50,0.0,19,145527,49,28,76,False,True,False,False,False,3
51,0.0,62,41497,84,18,203,False,False,False,True,False,2
52,0.0,50,23372,28,14,233,True,False,False,False,False,0
53,0.0,43,108683,22,19,275,False,False,False,False,False,1
54,0.0,45,37453,84,36,159,False,False,False,False,True,4
55,0.0,36,132716,47,12,115,False,False,False,False,True,4
